id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
78864,6,2024-08-24 13:40:56.904+00,6250,12828,-10642,7776,2147,7845,-4219,38.50434875488281
78869,6,2024-08-24 13:40:56.954+00,6150,10998,-3464,8797,-11858,4242,57,38.50434875488281
78874,6,2024-08-24 13:40:57.004+00,9124,12536,-13508,7481,-1036,8561,5121,38.50434875488281
78879,6,2024-08-24 13:40:57.055+00,3914,15534,-6762,7745,-6202,-4737,10239,38.50434875488281
78884,6,2024-08-24 13:40:57.102+00,9480,6400,-5582,7635,-553,-10055,7286,38.50434875488281
78889,6,2024-08-24 13:40:57.152+00,9794,13470,-6504,8398,1013,-1680,5458,38.50434875488281
78894,6,2024-08-24 13:40:57.204+00,7834,8640,-6956,8750,1550,-2958,-8904,38.50434875488281
78899,6,2024-08-24 13:40:57.254+00,9304,10864,-10524,7727,2249,-5274,-2222,38.50434875488281
78904,6,2024-08-24 13:40:57.304+00,10524,14564,-7326,8842,9821,-715,-7697,38.50434875488281
78909,6,2024-08-24 13:40:57.355+00,5820,6846,-8342,8822,6223,12444,-4995,38.50434875488281
78914,6,2024-08-24 13:40:57.405+00,6184,11940,-10804,8433,6526,10150,671,38.50434875488281
78919,6,2024-08-24 13:40:57.454+00,10320,11774,-6658,8304,-5892,5696,4689,38.50434875488281
78924,6,2024-08-24 13:40:57.504+00,6142,7980,-9844,8689,-4495,7603,2823,38.50434875488281
78929,6,2024-08-24 13:40:57.554+00,11750,16814,-8894,8108,-6092,-5533,14231,38.50434875488281
78934,6,2024-08-24 13:40:57.605+00,13130,8470,-6336,7141,-2745,-7721,5697,38.50434875488281
78939,6,2024-08-24 13:40:57.655+00,12914,8346,-5344,8320,-6839,-8395,2046,38.50434875488281
78944,6,2024-08-24 13:40:57.705+00,8324,9808,-6982,7446,-6732,1310,-4357,38.50434875488281
78949,6,2024-08-24 13:40:57.753+00,8004,8614,-6866,8345,-1477,-6333,-13943,38.50434875488281
78954,6,2024-08-24 13:40:57.804+00,11476,11650,-7724,8343,285,-8882,-5368,38.50434875488281
78959,6,2024-08-24 13:40:57.854+00,8874,16078,-6492,9040,9487,3035,-7284,38.50434875488281
78962,6,2024-08-24 13:40:57.885+00,4212,8820,-6796,8518,5578,12000,-4770,38.50434875488281
78967,6,2024-08-24 13:40:57.935+00,5678,11164,-8250,9704,3823,4578,914,38.50434875488281
78972,6,2024-08-24 13:40:57.985+00,5318,13382,-8408,7108,1635,5723,-462,38.50434875488281
78977,6,2024-08-24 13:40:58.036+00,7594,9300,-4294,8508,-9060,1436,4952,38.50434875488281
78982,6,2024-08-24 13:40:58.083+00,11216,12594,-9066,8183,2125,6811,14255,38.50434875488281
78987,6,2024-08-24 13:40:58.133+00,7746,12850,-10264,5788,114,-8513,12760,38.50434875488281
78992,6,2024-08-24 13:40:58.185+00,14452,8622,-7390,8045,-7114,-9506,5560,38.50434875488281
78997,6,2024-08-24 13:40:58.235+00,8310,8178,-7398,7289,-4231,-2640,-9820,38.50434875488281
79002,6,2024-08-24 13:40:58.285+00,9284,10408,-7230,8503,-5109,-7206,-9941,38.50434875488281
79007,6,2024-08-24 13:40:58.336+00,8622,11046,-3622,9760,14417,2578,-4579,38.50434875488281
79012,6,2024-08-24 13:40:58.386+00,7690,10932,-9786,8257,9455,16048,6292,38.50434875488281
79017,6,2024-08-24 13:40:58.435+00,8638,10468,-11160,7209,-609,-440,5000,38.50434875488281
79022,6,2024-08-24 13:40:58.485+00,7484,7470,-5066,9273,-17134,-2993,7500,38.50434875488281
79027,6,2024-08-24 13:40:58.535+00,11214,13484,-7322,7648,-4205,1268,15669,38.50434875488281
79032,6,2024-08-24 13:40:58.586+00,9660,6554,-9368,6844,-1104,-11922,16953,38.50434875488281
79037,6,2024-08-24 13:40:58.636+00,16864,9492,-9658,7585,-115,-7437,9432,38.50434875488281
79039,6,2024-08-24 13:40:58.656+00,13270,7214,-10190,8175,-650,-2731,3501,38.50434875488281
79042,6,2024-08-24 13:40:58.686+00,10016,7674,-9560,8204,-3964,-5375,-5803,38.50434875488281
79044,6,2024-08-24 13:40:58.706+00,10270,8020,-8276,8481,-6852,-6027,-11154,38.50434875488281
79047,6,2024-08-24 13:40:58.734+00,10992,6316,-7424,8008,-4847,-4829,-9746,38.50434875488281
79049,6,2024-08-24 13:40:58.754+00,8874,5382,-11202,8282,11489,-11578,-3085,38.50434875488281
79052,6,2024-08-24 13:40:58.785+00,13728,13530,-7392,8958,15489,-4534,-2940,38.50434875488281
79054,6,2024-08-24 13:40:58.805+00,10854,8566,-6200,7655,8989,10574,-3414,38.50434875488281
